user_id,assessment_id,score,date_taken
4,13,2,2024/12/18
4,1,4,2024/12/18
4,3,4,2024/12/18
4,6,3,2024/12/18
8,1,4,2024/12/18
8,3,4,2024/12/18
8,7,2,2024/12/18
8,13,3,2024/12/18
10,2,2,2024/12/18
10,4,2,2024/12/18
10,6,2,2024/12/18
10,8,2,2024/12/18
9,12,3,2024/12/18
9,6,4,2024/12/18
9,8,4,2024/12/18
9,19,1,2024/12/18
2,5,4,2024/12/18
2,7,4,2024/12/18
2,9,4,2024/12/18
2,11,4,2024/12/18
2,15,4,2024/12/18
2,16,4,2024/12/18
2,17,4,2024/12/18
2,20,4,2024/12/18
2,21,4,2024/12/18
2,22,4,2024/12/18
2,23,4,2024/12/18
